output_name,function_type,input_1,input_2,input_3,input_4,input_5,input_6,input_7,input_8,config_id
increment_mode,normal,right_sip,,,,,,,,0
decrement_mode,normal,right_puff,,,,,,,,0
left_joy_left,normal,left,,,,,,,,0
left_joy_right,normal,right,,,,,,,,0
left_joy_up,normal,up,,,,,,,,0
left_joy_down,normal,down,,,,,,,,0
left_1,normal,mp_left_sip,,,,,,,,0
left_2,normal,mp_left_puff,,,,,,,,0
left_3,normal,mp_left_center_sip,,,,,,,,0
right_1,normal,mp_right_sip,,,,,,,,0
right_2,normal,mp_right_puff,,,,,,,,0
right_3,normal,mp_right_center_sip,,,,,,,,0
x,normal,lip,,,,,,,,0
circle,normal,mp_center_puff,,,,,,,,0
square,normal,mp_center_sip,,,,,,,,0
triangle,normal,mp_right_center_puff,,,,,,,,0
select,normal,mp_left_sip_soft,,,,,,,,0
ps3,normal,mp_center_sip_soft,,,,,,,,0
start,normal,mp_right_sip_soft,,,,,,,,0
increment_mode,normal,right_sip,,,,,,,,1
decrement_mode,normal,right_puff,,,,,,,,1
left_joy_up,normal,up,,,,,,,,1
left_joy_down,normal,down,,,,,,,,1
right_joy_left,normal,left,,,,,,,,1
right_joy_right,normal,right,,,,,,,,1
left_1,normal,mp_left_sip,,,,,,,,1
left_2,normal,mp_left_puff,,,,,,,,1
left_3,normal,mp_left_center_sip,,,,,,,,1
right_1,normal,mp_right_sip,,,,,,,,1
right_2,normal,mp_right_puff,,,,,,,,1
right_3,normal,mp_right_center_sip,,,,,,,,1
x,normal,lip,,,,,,,,1
circle,normal,mp_center_puff,,,,,,,,1
square,normal,mp_center_sip,,,,,,,,1
triangle,normal,mp_right_center_puff,,,,,,,,1
select,normal,mp_left_sip_soft,,,,,,,,1
ps3,normal,mp_center_sip_soft,,,,,,,,1
start,normal,mp_right_sip_soft,,,,,,,,1
increment_mode,normal,right_sip,,,,,,,,2
decrement_mode,normal,right_puff,,,,,,,,2
right_joy_left,normal,left,,,,,,,,2
right_joy_right,normal,right,,,,,,,,2
right_joy_up,normal,up,,,,,,,,2
right_joy_down,normal,down,,,,,,,,2
left_1,normal,mp_left_sip,,,,,,,,2
left_2,normal,mp_left_puff,,,,,,,,2
left_3,normal,mp_left_center_sip,,,,,,,,2
right_1,normal,mp_right_sip,,,,,,,,2
right_2,normal,mp_right_puff,,,,,,,,2
right_3,normal,mp_right_center_sip,,,,,,,,2
x,normal,lip,,,,,,,,2
circle,normal,mp_center_puff,,,,,,,,2
square,normal,mp_center_sip,,,,,,,,2
triangle,normal,mp_right_center_puff,,,,,,,,2
select,normal,mp_left_sip_soft,,,,,,,,2
ps3,normal,mp_center_sip_soft,,,,,,,,2
start,normal,mp_right_sip_soft,,,,,,,,2
increment_mode,normal,right_sip,,,,,,,,3
decrement_mode,normal,right_puff,,,,,,,,3
dpad_N,normal,N,,,,,,,,3
dpad_NE,normal,NE,,,,,,,,3
dpad_E,normal,E,,,,,,,,3
dpad_SE,normal,SE,,,,,,,,3
dpad_S,normal,S,,,,,,,,3
dpad_SW,normal,SW,,,,,,,,3
dpad_W,normal,W,,,,,,,,3
dpad_NW,normal,NW,,,,,,,,3
left_1,normal,mp_left_sip,,,,,,,,3
left_2,normal,mp_left_puff,,,,,,,,3
left_3,normal,mp_left_center_sip,,,,,,,,3
right_1,normal,mp_right_sip,,,,,,,,3
right_2,normal,mp_right_puff,,,,,,,,3
right_3,normal,mp_right_center_sip,,,,,,,,3
x,normal,lip,,,,,,,,3
circle,normal,mp_center_puff,,,,,,,,3
square,normal,mp_center_sip,,,,,,,,3
triangle,normal,mp_right_center_puff,,,,,,,,3
select,normal,mp_left_sip_soft,,,,,,,,3
ps3,normal,mp_center_sip_soft,,,,,,,,3
start,normal,mp_right_sip_soft,,,,,,,,3
increment_mode,normal,right_sip,,,,,,,,4
increment_mode,normal,Default Keyboard with 2 button mouse controller setting,,,,,,,,5
decrement_mode,normal,right_puff,,,,,,,,4
kb_w,greater_than 20,up,,,,,,,,4
kb_a,greater_than 20,left,,,,,,,,4
kb_s,greater_than 20,down,,,,,,,,4
kb_d,greater_than 20,right,,,,,,,,4
kb_q,normal,mp_left_sip,,,,,,,,4
kb_f,normal,mp_left_puff,,,,,,,,4
kb_c,normal,mp_left_center_sip,,,,,,,,4
mouse_right_button,toggle,mp_right_puff,,,,,,,,4
kb_space,normal,lip,,,,,,,,4
kb_left_shift,normal,mp_center_puff,,,,,,,,4
mouse_left_button,normal,mp_center_sip,,,,,,,,4
kb_e,normal,mp_right_center_puff,,,,,,,,4
kb_escape,normal,mp_right_sip_soft,,,,,,,,4
kb_left_alt,normal,mp_center_sip_soft,,,,,,,,4
kb_f4,normal,mp_center_sip_soft,,,,,,,,4
kb_tab,normal,mp_left_sip_soft,,,,,,,,4
increment_mode,normal,right_sip,,,,,,,,6
increment_mode,normal,right_sip,,,,,,,,7
decrement_mode,normal,right_puff,,,,,,,,6
decrement_mode,normal,right_puff,,,,,,,,7
kb_w,greater_than 20,up,,,,,,,,6
kb_s,greater_than 20,down,,,,,,,,6
mouse_right,normal,right,,,,,,,,6
mouse_left,normal,left,,,,,,,,6
kb_q,normal,mp_left_sip,,,,,,,,6
kb_f,normal,mp_left_puff,,,,,,,,6
kb_c,normal,mp_left_center_sip,,,,,,,,6
mouse_right_button,toggle,mp_right_puff,,,,,,,,6
kb_space,normal,lip,,,,,,,,6
kb_left_shift,normal,mp_center_puff,,,,,,,,6
mouse_left_button,normal,mp_center_sip,,,,,,,,6
kb_e,normal,mp_right_center_puff,,,,,,,,6
kb_escape,normal,mp_right_sip_soft,,,,,,,,6
kb_left_alt,normal,mp_center_sip_soft,,,,,,,,6
kb_f4,normal,mp_center_sip_soft,,,,,,,,6
kb_tab,normal,mp_left_sip_soft,,,,,,,,6
increment_mode,normal,right_sip,,,,,,,,8
decrement_mode,normal,right_puff,,,,,,,,8
mouse_right,normal,right,,,,,,,,8
mouse_left,normal,left,,,,,,,,8
mouse_up,normal,up,,,,,,,,8
mouse_down,normal,down,,,,,,,,8
kb_q,normal,mp_left_sip,,,,,,,,8
kb_f,normal,mp_left_puff,,,,,,,,8
kb_c,normal,mp_left_center_sip,,,,,,,,8
mouse_right_button,toggle,mp_right_puff,,,,,,,,8
kb_space,normal,lip,,,,,,,,8
kb_left_shift,normal,mp_center_puff,,,,,,,,8
mouse_left_button,normal,mp_center_sip,,,,,,,,8
kb_e,normal,mp_right_center_puff,,,,,,,,8
kb_escape,normal,mp_right_sip_soft,,,,,,,,8
kb_left_alt,normal,mp_center_sip_soft,,,,,,,,8
kb_f4,normal,mp_center_sip_soft,,,,,,,,8
kb_tab,normal,mp_left_sip_soft,,,,,,,,8
increment_mode,normal,right_sip,,,,,,,,10
decrement_mode,normal,right_puff,,,,,,,,10
kb_1,normal,W,,,,,,,,10
kb_2,normal,N,,,,,,,,10
kb_3,normal,E,,,,,,,,10
kb_4,normal,S,,,,,,,,10
kb_q,normal,mp_left_sip,,,,,,,,10
kb_f,normal,mp_left_puff,,,,,,,,10
kb_c,normal,mp_left_center_sip,,,,,,,,10
mouse_right_button,toggle,mp_right_puff,,,,,,,,10
kb_space,normal,lip,,,,,,,,10
kb_left_shift,normal,mp_center_puff,,,,,,,,10
mouse_left_button,normal,mp_center_sip,,,,,,,,10
kb_e,normal,mp_right_center_puff,,,,,,,,10
kb_escape,normal,mp_right_sip_soft,,,,,,,,10
kb_left_alt,normal,mp_center_sip_soft,,,,,,,,10
kb_f4,normal,mp_center_sip_soft,,,,,,,,10
kb_tab,normal,mp_left_sip_soft,,,,,,,,10
