folder,xlsx_name,rel_path,sheet_name,sheet_index,block_index,mode_name,layout_type,transport,profile_file,config_id
Android Game Controller,Android Game Controller.xlsx,Android Game Controller\Android Game Controller.xlsx,Left Analog,0,0,Left joy,Normal,bluetooth,android.csv,0
Android Game Controller,Android Game Controller.xlsx,Android Game Controller\Android Game Controller.xlsx,Mixed Analog,1,0,Mixed Joystick,Normal,bluetooth,,1
Android Game Controller,Android Game Controller.xlsx,Android Game Controller\Android Game Controller.xlsx,Right Analog,2,0,Right joy,Normal,bluetooth,,2
Android Game Controller,Android Game Controller.xlsx,Android Game Controller\Android Game Controller.xlsx,D-Pad,3,0,D-Pad,Normal,bluetooth,,3
Assassin_s Creed PC,Assassin_s Creed PC.xlsx,Assassin_s Creed PC\Assassin_s Creed PC.xlsx,MoveStrafe,0,0,Left joy,Normal,usb,ac1.csv,4
Assassin_s Creed PC,Assassin_s Creed PC.xlsx,Assassin_s Creed PC\Assassin_s Creed PC.xlsx,MoveStrafe,0,1,Controller,mapping:,http://guides.gamepressure.com/assassinscreedpc/guide.asp?ID=4504,ac1.csv,5
Assassin_s Creed PC,Assassin_s Creed PC.xlsx,Assassin_s Creed PC\Assassin_s Creed PC.xlsx,MoveSteer,1,0,Left joy,Normal,usb,,6
Assassin_s Creed PC,Assassin_s Creed PC.xlsx,Assassin_s Creed PC\Assassin_s Creed PC.xlsx,MoveSteer,1,1,Mixed joy,Alternate,usb,,7
Assassin_s Creed PC,Assassin_s Creed PC.xlsx,Assassin_s Creed PC\Assassin_s Creed PC.xlsx,View,2,0,Right joy,Normal,usb,,8
Assassin_s Creed PC,Assassin_s Creed PC.xlsx,Assassin_s Creed PC\Assassin_s Creed PC.xlsx,View,2,1,Mixed joy,Alternate,usb,,9
Assassin_s Creed PC,Assassin_s Creed PC.xlsx,Assassin_s Creed PC\Assassin_s Creed PC.xlsx,Weapon,3,0,Right joy,Normal,usb,,10
Assassin_s Creed PC,Assassin_s Creed PC.xlsx,Assassin_s Creed PC\Assassin_s Creed PC.xlsx,Weapon,3,1,Mixed joy,Alternate,usb,,11
Assassin_s Creed PC,Assassin_s Creed PC.xlsx,Assassin_s Creed PC\Assassin_s Creed PC.xlsx,Mouse,4,0,Mouse Mode,Normal,usb,,12
Assassin_s Creed PC,Assassin_s Creed PC.xlsx,Assassin_s Creed PC\Assassin_s Creed PC.xlsx,Mouse,4,1,Pan Mode,Alternate,usb,,13
Auto Right Stick Demo,Auto Right Stick Demo.xlsx,Auto Right Stick Demo\Auto Right Stick Demo.xlsx,Left Analog,0,0,Left joy,Normal,usb,autoright.csv,14
Auto Right Stick Demo,Auto Right Stick Demo.xlsx,Auto Right Stick Demo\Auto Right Stick Demo.xlsx,Mixed Analog,1,0,Mixed Joystick,Normal,usb,,15
Auto Right Stick Demo,Auto Right Stick Demo.xlsx,Auto Right Stick Demo\Auto Right Stick Demo.xlsx,Right Analog,2,0,Right joy,Normal,usb,,16
Auto Right Stick Demo,Auto Right Stick Demo.xlsx,Auto Right Stick Demo\Auto Right Stick Demo.xlsx,D-Pad,3,0,D-Pad,Normal,usb,,17
Auto Right Stick Demo,Auto Right Stick Demo.xlsx,Auto Right Stick Demo\Auto Right Stick Demo.xlsx,Mouse,4,0,Mouse Mode,Normal,usb,,18
Auto Right Stick Demo,Auto Right Stick Demo.xlsx,Auto Right Stick Demo\Auto Right Stick Demo.xlsx,Mouse Scroll,5,0,Mouse Mode,Normal,usb,,19
Auto Right Stick Demo,Auto Right Stick Demo.xlsx,Auto Right Stick Demo\Auto Right Stick Demo.xlsx,Auto Right Stick 1,6,0,Right joy,Normal,usb,,20
Auto Right Stick Demo,Auto Right Stick Demo.xlsx,Auto Right Stick Demo\Auto Right Stick Demo.xlsx,Auto Right Stick 2,7,0,Right joy,Normal,usb,,21
Battlefield PS4,Battlefield PS4.xlsx,Battlefield PS4\Battlefield PS4.xlsx,PS3 Left,0,0,Left joy,Normal,usb,bf4ps4.csv,22
Battlefield PS4,Battlefield PS4.xlsx,Battlefield PS4\Battlefield PS4.xlsx,PS3 Left,0,1,Mixed joy,Alternate,usb,bf4ps4.csv,23
Battlefield PS4,Battlefield PS4.xlsx,Battlefield PS4\Battlefield PS4.xlsx,PS3 Mixed,1,0,Left joy,Normal,usb,,24
Battlefield PS4,Battlefield PS4.xlsx,Battlefield PS4\Battlefield PS4.xlsx,PS3 Mixed,1,1,Mixed joy,Alternate,usb,,25
Battlefield PS4,Battlefield PS4.xlsx,Battlefield PS4\Battlefield PS4.xlsx,PS3 Right,2,0,Right joy,Normal,usb,,26
Battlefield PS4,Battlefield PS4.xlsx,Battlefield PS4\Battlefield PS4.xlsx,PS3 Right,2,1,Mixed joy,Alternate,usb,,27
Battlefield PS4,Battlefield PS4.xlsx,Battlefield PS4\Battlefield PS4.xlsx,PS3 D-Pad,3,0,D-Pad,Normal,usb,,28
Battlefield PS4,Battlefield PS4.xlsx,Battlefield PS4\Battlefield PS4.xlsx,PS3 D-Pad,3,1,D-Pad,Alternate,usb,,29
Battlefield PS4,Battlefield PS4.xlsx,Battlefield PS4\Battlefield PS4.xlsx,Gyro PS3,4,0,D-Pad,Normal,usb,,30
Battlefield PS4,Battlefield PS4.xlsx,Battlefield PS4\Battlefield PS4.xlsx,Gyro PS3,4,1,D-Pad,Alternate,usb,,31
