source_xlsx,sheet_name,preference,value,units,description
Assassin_s Creed PC.xlsx,Preferences,digital_out_1,0,on/off,Initial output state for relay 1
Assassin_s Creed PC.xlsx,Preferences,digital_out_2,1,on/off,Initial output state for relay 2
Assassin_s Creed PC X360.xlsx,Preferences,digital_out_1,0,on/off,Initial output state for relay 1
Assassin_s Creed PC X360.xlsx,Preferences,digital_out_2,1,on/off,Initial output state for relay 2
Battlefield PS4.xlsx,Preferences,digital_out_1,0,on/off,Initial output state for relay 1
Battlefield PS4.xlsx,Preferences,digital_out_2,1,on/off,Initial output state for relay 2
Battlefield Xbox.xlsx,Preferences,digital_out_1,0,on/off,Initial output state for relay 1
Battlefield Xbox.xlsx,Preferences,digital_out_2,1,on/off,Initial output state for relay 2
Beloader Basic Configuration.xlsx,Preferences,titan_two,1,,Disable authentication
Beloader Basic Configuration.xlsx,Preferences,enable_DS3_emulation,7,,DS4
Beloader Fortnite.xlsx,Preferences,enable_DS3_emulation,7,,DS4
BioShock1.xlsx,Preferences,digital_out_1,1,on/off,Initial output state for relay 1
BioShock1.xlsx,Preferences,digital_out_2,1,on/off,Initial output state for relay 2
Bluetooth Android Default Preferences.xlsx,Preferences,joystick_deflection_minimum,9,percent,Defines center dead zone. Percent of physical movement
Bluetooth Android Default Preferences.xlsx,Preferences,joystick_deflection_maximum,30,percent,Defines physical deflection scaled to 100% Signal
Bluetooth Android Default Preferences.xlsx,Preferences,joystick_dead_zone_shape,1,,"0=Square, 1=Circle"
Bluetooth Android Default Preferences.xlsx,Preferences,joystick_warning,400,percent,Joystick position beyond full scale that will flash the leds
Bluetooth Android Default Preferences.xlsx,Preferences,joystick_alarm,500,percent,Joysitck position beyond full scale that will buzz the speaker
Bluetooth Android Default Preferences.xlsx,Preferences,anti_dead_zone,0,percent,Counteracts the dead zone built into the Game Console's joystick software
Bluetooth Android Default Preferences.xlsx,Preferences,deflection_multiplier_up,140,percent,Adjusts joystick deflection value in the UP direction
Bluetooth Android Default Preferences.xlsx,Preferences,deflection_multiplier_down,130,percent,Adjusts joystick deflection value in the DOWN direction
Bluetooth Android Default Preferences.xlsx,Preferences,deflection_multiplier_left,100,percent,Adjusts joystick deflection value in the LEFT direction
Bluetooth Android Default Preferences.xlsx,Preferences,deflection_multiplier_right,100,percent,Adjusts joystick deflection value in the RIGHT direction
Bluetooth Android Default Preferences.xlsx,Preferences,usb_1_multiplier_up,100,percent,Adjusts a USB input sensitivity in one direction
Bluetooth Android Default Preferences.xlsx,Preferences,usb_1_multiplier_down,100,percent,Adjusts a USB input sensitivity in one direction
Bluetooth Android Default Preferences.xlsx,Preferences,usb_1_multiplier_left,100,percent,Adjusts a USB input sensitivity in one direction
Bluetooth Android Default Preferences.xlsx,Preferences,usb_1_multiplier_right,100,percent,Adjusts a USB input sensitivity in one direction
